종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
006400,삼성SDI,KOSPI,168900.0,-3.15,1009215.0,11614329117000.0
006405,삼성SDI우,KOSPI,103100.0,-0.39,4476.0,166805077600.0
006490,인스코비,KOSPI,1485.0,3.92,920660.0,180318385170.0
006570,대림통상,KOSPI,2615.0,2.55,12832.0,39813375000.0
006650,대한유화,KOSPI,82600.0,-0.24,13463.0,536900000000.0
006660,삼성공조,KOSPI,14390.0,-1.98,84772.0,116937658460.0
006740,영풍제지,KOSPI,1027.0,1.58,156305.0,57416712886.0
006800,미래에셋증권,KOSPI,15550.0,-6.1,6081417.0,8868420144400.0
006805,미래에셋증권우,KOSPI,6330.0,-3.36,163767.0,89099497500.0
00680K,미래에셋증권2우B,KOSPI,5760.0,-4.0,2325357.0,792000000000.0
006840,AK홀딩스,KOSPI,11930.0,0.51,26772.0,158043402730.0
006880,신송홀딩스,KOSPI,7820.0,1.56,172131.0,92501669560.0
006890,태경케미컬,KOSPI,11640.0,-0.43,15779.0,135024000000.0
006980,우성,KOSPI,17420.0,2.47,1755.0,53827800000.0
007070,GS리테일,KOSPI,15340.0,0.72,275605.0,1282537746100.0
007110,일신석재,KOSPI,2085.0,-0.71,5707858.0,161497031850.0
007120,미래아이앤지,KOSPI,1024.0,-2.94,54168.0,29571694592.0
007160,사조산업,KOSPI,50300.0,1.62,40899.0,251500000000.0
007210,벽산,KOSPI,2200.0,-0.9,87346.0,147092000000.0
007280,한국특강,KOSPI,1611.0,0.44,3994.0,97970244021.0
007310,오뚜기,KOSPI,398000.0,0.76,3580.0,1595116340000.0
007340,DN오토모티브,KOSPI,21950.0,-1.57,61653.0,1284313486750.0
007460,에이프로젠,KOSPI,677.0,0.3,1509566.0,211106659652.0
007540,샘표,KOSPI,45150.0,-0.77,9579.0,129842370000.0
007570,일양약품,KOSPI,13170.0,1.93,70646.0,251358194880.0
007575,일양약품우,KOSPI,13050.0,0.54,2672.0,5808294000.0
007590,동방아그로,KOSPI,6180.0,0.49,2677.0,84156625860.0
007610,선도전기,KOSPI,3000.0,0.0,0.0,54000000000.0
007660,이수페타시스,KOSPI,38400.0,-6.68,1522820.0,2818914009600.0
007690,국도화학,KOSPI,33300.0,-0.15,11370.0,308385705600.0
007700,F&F홀딩스,KOSPI,15660.0,2.35,65524.0,612530987220.0
007810,코리아써키트,KOSPI,9990.0,-2.25,34343.0,235971302490.0
007815,코리아써우,KOSPI,5420.0,-2.34,1158.0,16068619800.0
00781K,코리아써키트2우B,KOSPI,5470.0,2.63,88.0,4286833530.0
007860,서연,KOSPI,9460.0,-6.06,1000404.0,222119324240.0
007980,TP,KOSPI,1394.0,1.16,228704.0,71338131220.0
008040,사조동아원,KOSPI,1159.0,-1.53,955761.0,163586591400.0
008060,대덕,KOSPI,7810.0,-0.89,87171.0,264682071500.0
00806K,대덕1우,KOSPI,8100.0,0.37,1749.0,9820091700.0
008110,대동전자,KOSPI,15040.0,0.0,0.0,157776322880.0
008250,이건산업,KOSPI,5470.0,-1.26,20651.0,59910913450.0
008260,NI스틸,KOSPI,3570.0,0.14,78750.0,102102417690.0
008350,남선알미늄,KOSPI,1230.0,-0.32,439606.0,158767280700.0
008355,남선알미우,KOSPI,12800.0,-0.16,342.0,3940992000.0
008420,문배철강,KOSPI,2295.0,-0.86,32456.0,47055543975.0
008490,서흥,KOSPI,18470.0,-2.79,41630.0,213681517110.0
008500,일정실업,KOSPI,12000.0,6.29,53228.0,14400000000.0
008600,윌비스,KOSPI,450.0,-5.46,1439996.0,30256217550.0
008700,아남전자,KOSPI,1443.0,-1.37,253811.0,111291115260.0
008730,율촌화학,KOSPI,28850.0,-0.86,42510.0,715480000000.0
008770,호텔신라,KOSPI,49600.0,3.33,334711.0,1946706801600.0
008775,호텔신라우,KOSPI,46800.0,3.31,40280.0,35187937200.0
008870,금비,KOSPI,58000.0,1.22,1270.0,58000000000.0
008930,한미사이언스,KOSPI,35400.0,0.28,347827.0,2421060870000.0
008970,동양철관,KOSPI,1468.0,0.82,12974741.0,233886191892.0
009070,KCTC,KOSPI,3975.0,-0.38,41560.0,119250000000.0
009140,경인전자,KOSPI,19780.0,1.12,2479.0,31070364660.0
009150,삼성전기,KOSPI,122200.0,-1.45,495787.0,9127569651200.0
